"Prognose bevolking; geslacht en leeftijd, 2017-2060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mannen,40 jaar,100799,99597,101359,101382,104786,102833,101009,100246,103041,104390,106739,108094,107578,108756,113269,113700,113760,112908,113200,110228,110383,110044,113115,113754,115462,114052,113364,112906,109460,106906,106222,104147,106311,106078,105480,103802,101856,99977,101714,101246,101994,103018,103952,105131
Mannen,41 jaar,101048,101064,99629,101266,101204,104519,102502,100625,99847,102613,103958,106309,107670,107151,108322,112828,113276,113344,112502,112789,109823,109969,109631,112697,113336,115038,113634,112948,112490,109046,106498,105813,103745,105905,105670,105070,103398,101453,99583,101320,100879,101629,102645,103575
Mannen,42 jaar,105595,101288,101105,99583,101135,101001,104229,102198,100283,99495,102234,103578,105932,107300,106774,107940,112441,112902,112979,112145,112426,109463,109602,109267,112326,112964,114664,113265,112577,112122,108682,106139,105453,103390,105544,105308,104706,103038,101098,99232,100972,100556,101303,102314
Mannen,43 jaar,109312,105812,101307,101051,99468,100944,100737,103931,101895,99952,99157,101875,103218,105575,106948,106415,107580,112076,112550,112633,111808,112083,109120,109253,108921,111972,112610,114307,112914,112227,111770,108334,105799,105116,103054,105201,104964,104363,102699,100764,98902,100642,100253,100997
Mannen,44 jaar,118113,109417,105744,101178,100877,99245,100653,100420,103590,101555,99586,98785,101486,102829,105188,106568,106035,107196,111688,112174,112261,111443,111709,108754,108881,108551,111595,112234,113927,112539,111855,111397,107968,105440,104756,102698,104841,104603,104002,102343,100410,98555,100296,99926
Mannen,45 jaar,124747,118121,109270,105553,100958,100620,98945,100326,100078,103231,101200,99212,98409,101095,102435,104797,106183,105645,106806,111292,111788,111880,111068,111329,108376,108496,108168,111208,111848,113539,112156,111473,111015,107593,105068,104385,102329,104467,104231,103628,101974,100046,98195,99934
Mannen,46 jaar,130214,124694,117944,109056,105322,100704,100328,98641,100006,99751,102888,100863,98861,98059,100734,102072,104436,105827,105291,106449,110928,111430,111528,110720,110975,108025,108138,107814,110848,111491,113178,111800,111118,110662,107247,104725,104041,101988,104123,103887,103284,101633,99709,97860
Mannen,47 jaar,133562,130114,124484,117713,108811,105059,100418,100039,98346,99701,99442,102567,100548,98536,97734,100397,101732,104099,105497,104960,106116,110588,111096,111199,110397,110644,107697,107806,107482,110514,111156,112838,111466,110787,110332,106922,104404,103720,101670,103799,103564,102961,101313,99391
Mannen,48 jaar,127795,133423,129837,124196,117422,108513,104741,100105,99731,98039,99386,99123,102236,100226,98205,97399,100052,101383,103750,105151,104616,105766,110232,110746,110853,110053,110296,107351,107454,107132,110158,110800,112479,111112,110435,109982,106576,104061,103379,101332,103455,103221,102617,100972
Mannen,49 jaar,126907,127579,133067,129442,123810,117037,108126,104364,99742,99374,97686,99025,98761,101863,99859,97833,97027,99669,100996,103363,104765,104229,105373,109830,110352,110464,109668,109905,106966,107061,106741,109761,110404,112081,110719,110044,109592,106193,103682,103001,100959,103076,102843,102238
Mannen,50 jaar,127507,126618,127149,132582,128941,123324,116557,107673,103931,99327,98968,97286,98621,98357,101446,99450,97420,96613,99244,100568,102935,104336,103802,104941,109392,109918,110034,109242,109477,106543,106634,106318,109332,109977,111649,110293,109619,109170,105779,103273,102591,100555,102668,102432
Mannen,51 jaar,129695,127139,126162,126641,132035,128387,122783,116047,107198,103480,98895,98545,96869,98202,97937,101013,99028,96995,96189,98811,100133,102495,103896,103362,104496,108937,109469,109589,108802,109035,106108,106195,105883,108892,109534,111204,109856,109183,108737,105351,102852,102173,100144,102252
Mannen,52 jaar,131789,129242,126609,125619,126064,131420,127770,122203,115503,106695,103000,98440,98101,96434,97758,97493,100560,98581,96550,95747,98359,99678,102034,103435,102900,104029,108463,108998,109125,108344,108574,105655,105737,105430,108431,109074,110740,109400,108729,108285,104909,102416,101741,99717
Mannen,53 jaar,129304,131268,128640,126002,125015,125431,130753,127116,121594,114931,106168,102497,97962,97635,95975,97294,97030,100090,98123,96089,95287,97890,99203,101557,102959,102427,103552,107977,108515,108650,107876,108104,105193,105273,104973,107969,108611,110276,108943,108275,107833,104466,101979,101306
Mannen,54 jaar,126237,128765,130621,127977,125351,124370,124760,130065,126450,120972,114349,105629,101979,97471,97155,95503,96818,96556,99607,97650,95618,94819,97410,98722,101072,102474,101946,103067,107483,108026,108169,107400,107627,104726,104802,104508,107497,108140,109802,108476,107812,107372,104015,101533
Mannen,55 jaar,124769,125664,128107,129914,127276,124663,123691,124071,129359,125766,120333,113747,105075,101449,96966,96658,95015,96326,96068,99107,97161,95131,94338,96917,98225,100571,101975,101449,102569,106974,107525,107671,106908,107135,104242,104318,104027,107010,107651,109315,107994,107333,106896,103549
Mannen,56 jaar,121320,124161,124976,127384,129157,126526,123927,122978,123350,128624,125053,119663,113121,104497,100894,96438,96138,94506,95813,95561,98591,96655,94629,93841,96410,97715,100057,101463,100940,102060,106453,107010,107164,106404,106634,103750,103826,103538,106513,107158,108819,107506,106847,106413
Mannen,57 jaar,119895,120633,123437,124218,126604,128349,125724,123152,122227,122597,127851,124306,118963,112462,103888,100310,95882,95590,93970,95274,95024,98046,96122,94104,93318,95879,97181,99518,100926,100407,101528,105909,106472,106632,105881,106112,103239,103311,103030,105998,106643,108302,106997,106341
Mannen,58 jaar,116490,119208,119874,122674,123433,125798,127520,124913,122369,121471,121839,127077,123558,118259,111802,103274,99723,95324,95044,93433,94734,94490,97502,95595,93581,92802,95352,96654,98987,100396,99883,101003,105372,105941,106108,105363,105596,102734,102806,102530,105490,106136,107795,106496
Mannen,59 jaar,113438,115770,118427,119060,121860,122603,124953,126659,124073,121562,120689,121056,126275,122787,117530,111119,102645,99120,94753,94483,92884,94184,93946,96948,95056,93053,92282,94824,96123,98452,99864,99355,100476,104832,105409,105583,104842,105077,102228,102302,102030,104983,105629,107289
Mannen,60 jaar,111375,112654,114940,117566,118177,120979,121708,124049,125745,123186,120707,119860,120228,125430,121972,116760,110397,101981,98484,94151,93891,92305,93603,93372,96366,94489,92500,91737,94269,95569,97891,99307,98802,99925,104269,104854,105035,104301,104538,101705,101780,101513,104459,105109
Mannen,61 jaar,107491,110513,111770,114035,116635,117230,120029,120752,123089,124777,122246,119802,118980,119353,124533,121106,115944,109630,101275,97809,93510,93260,91688,92984,92760,95742,93884,91907,91153,93677,94974,97291,98707,98211,99333,103664,104254,104443,103720,103958,101141,101215,100956,103893
Mannen,62 jaar,106074,106591,109568,110822,113072,115651,116233,119031,119752,122087,123769,121270,118860,118064,118440,123598,120204,115092,108834,100541,97106,92845,92605,91051,92343,92128,95099,93257,91295,90548,93064,94362,96673,98093,97605,98727,103043,103638,103835,103122,103361,100561,100636,100385
Mannen,63 jaar,103905,105105,105606,108554,109812,112049,114608,115183,117981,118704,121036,122714,120250,117879,117107,117488,122624,119265,114208,108005,99779,96379,92156,91927,90388,91679,91474,94434,92611,90663,89926,92435,93734,96039,97463,96982,98106,102405,103009,103215,102511,102754,99971,100050
Mannen,64 jaar,103660,102850,104034,104531,107453,108717,110942,113482,114054,116857,117583,119911,121585,119160,116829,116084,116470,121581,118261,113260,107120,98967,95601,91421,91205,89684,90975,90776,93726,91925,89994,89268,91768,93066,95367,96792,96322,97446,101729,102340,102556,101862,102109,99341
Mannen,65 jaar,99645,102480,101679,102857,103358,106253,107522,109736,112262,112833,115638,116368,118695,120365,117979,115689,114974,115367,120448,117172,112231,106155,98084,94755,90623,90419,88918,90209,90018,92954,91177,89264,88550,91043,92338,94635,96061,95602,96724,100990,101605,101833,101151,101403
Mannen,66 jaar,98998,98413,101213,100435,101615,102121,104989,106268,108474,110986,111558,114367,115101,117425,119091,116745,114498,113817,114217,119267,116038,111158,105152,97165,93877,89795,89605,88124,89416,89234,92157,90403,88513,87812,90295,91590,93881,95309,94860,95982,100230,100853,101091,100420
Mannen,67 jaar,99358,97659,97103,99881,99137,100319,100832,103676,104966,107167,109667,110243,113055,113795,116116,117777,115476,113275,112628,113035,118057,114876,110061,104125,96225,92980,88951,88777,87318,88611,88440,91352,89624,87757,87070,89545,90839,93123,94555,94118,95242,99472,100101,100348
Mannen,68 jaar,101409,97898,96239,95727,98483,97775,98960,99485,102307,103612,105807,108295,108876,111691,112435,114753,116411,114155,112002,111392,111807,116799,113667,108922,103060,95251,92052,88076,87919,86482,87781,87622,90524,88823,86979,86306,88772,90066,92345,93781,93356,94480,98695,99333
Mannen,69 jaar,104715,99779,96350,94742,94272,97009,96337,97527,98067,100869,102188,104378,106856,107445,110258,111010,113325,114981,112774,110672,110098,110522,115483,112405,107732,101948,94237,91084,87166,87028,85619,86918,86775,89667,87995,86175,85519,87975,89270,91545,92984,92572,93697,97899
Mannen,70 jaar,106861,102860,98042,94705,93151,92726,95445,94811,96007,96565,99347,100681,102865,105334,105931,108742,109502,111815,113471,111317,109268,108732,109167,114095,111074,106477,100779,93171,90070,86212,86094,84714,86016,85887,88770,87129,85335,84697,87144,88441,90714,92155,91758,92886
Mannen,71 jaar,74718,104772,100890,96200,92959,91459,91081,93778,93185,94389,94967,97729,99078,101253,103709,104316,107124,107895,110205,111860,109764,107771,107274,107723,112614,109654,105138,99532,92033,88986,85194,85095,83745,85052,84938,87811,86201,84436,83816,86254,87554,89822,91268,90887
Mannen,72 jaar,76390,73101,102569,98811,94253,91112,89671,89339,92016,91469,92682,93282,96022,97383,99549,101993,102610,105414,106197,108502,110160,108124,106189,105735,106197,111052,108156,103726,98215,90831,87844,84119,84042,82724,84034,83937,86799,85224,83490,82891,85318,86621,88887,90336
Mannen,73 jaar,71083,74575,71403,100252,96622,92200,89165,87783,87499,90157,89656,90881,91501,94219,95592,97747,100178,100807,103606,104400,106700,108359,106386,104513,104102,104579,109395,106568,102229,96819,89559,86631,82977,82925,81642,82954,82877,85725,84187,82486,81909,84327,85633,87894
Mannen,74 jaar,63849,69216,72664,69609,97802,94303,90025,87098,85779,85546,88183,87732,88966,89607,92302,93686,95830,98246,98886,101677,102483,104779,106437,104530,102723,102357,102851,107624,104869,100628,95325,88194,85329,81753,81725,80478,81794,81736,84570,83071,81406,80853,83260,84569
Mannen,75 jaar,58952,61988,67256,70654,67718,95214,91852,87722,84909,83663,83482,86095,85696,86938,87601,90269,91664,93796,96197,96851,99632,100452,102740,104398,102562,100824,100504,101015,105742,103064,98927,93736,86742,83948,80453,80449,79241,80560,80524,83343,81886,80259,79731,82126
Mannen,76 jaar,58014,57038,60028,65185,68525,65711,92465,89243,85272,82583,81412,81286,83872,83525,84773,85457,88094,89500,91618,94003,94670,97438,98273,100552,102208,100446,98781,98511,99040,103715,101120,97093,92024,85176,82457,79048,79072,77903,79228,79215,82016,80603,79016,78516
Mannen,77 jaar,53225,55907,55031,57966,62997,66269,63585,89542,86471,82670,80112,79019,78950,81504,81209,82463,83168,85772,87186,89290,91655,92337,95091,95942,98211,99866,98182,96596,96375,96923,101543,99036,95128,90188,83498,80859,77542,77595,76471,77799,77811,80592,79226,77685
Mannen,78 jaar,49993,51056,53685,52906,55772,60663,63861,61308,86411,83504,79884,77466,76455,76442,78960,78720,79980,80708,83275,84697,86783,89130,89828,92562,93429,95685,97339,95741,94236,94068,94637,99197,96783,93001,88202,81685,79131,75913,75996,74918,76249,76286,79045,77730
Mannen,79 jaar,44040,47691,48771,51331,50641,53428,58168,61277,58868,83052,80317,76890,74616,73691,73734,76211,76028,77291,78043,80570,81997,84063,86384,87100,89810,90694,92935,94586,93078,91661,91547,92140,96628,94317,90672,86026,79700,77237,74128,74242,73215,74548,74614,77347
Mannen,80 jaar,41083,41746,45271,46353,48832,48227,50930,55497,58512,56256,79449,76896,73672,71547,70712,70808,73238,73115,74379,75154,77636,79066,81106,83398,84133,86811,87712,89934,91581,90170,88844,88789,89405,93813,91613,88116,83641,77523,75158,72168,72315,71343,72675,72773
Mannen,81 jaar,37079,38661,39348,42729,43801,46189,45670,48273,52655,55570,53476,75604,73239,70228,68260,67518,67669,70045,69984,71248,72044,74476,75906,77919,80175,80931,83567,84487,86685,88327,87017,85792,85796,86436,90753,88674,85335,81045,75154,72899,70036,70217,69307,70638
Mannen,82 jaar,33372,34605,36146,36844,40060,41116,43405,42964,45460,49645,52449,50525,71511,69339,66550,64746,64099,64304,66621,66621,67881,68698,71073,72498,74477,76692,77467,80055,80993,83160,84791,83591,82470,82535,83200,87414,85463,82297,78208,72564,70425,67702,67918,67072
Mannen,83 jaar,29609,30856,32060,33543,34240,37276,38310,40480,40121,42502,46474,49157,47405,67172,65200,62639,61003,60452,60711,62958,63018,64269,65101,67411,68826,70765,72929,73722,76251,77204,79332,80949,79862,78849,78977,79665,83762,81949,78966,75093,69718,67706,65132,65384
Mannen,84 jaar,26979,27090,28294,29454,30863,31548,34395,35390,37440,37158,39414,43157,45704,44125,62603,60832,58505,57039,56582,56892,59058,59176,60411,61253,63486,64883,66774,68877,69685,72143,73106,75187,76781,75813,74913,75101,75812,79774,78106,75318,71678,66594,64718,62304
Mannen,85 jaar,23498,24399,24559,25703,26802,28128,28796,31433,32388,34309,34102,36223,39718,42116,40709,57834,56265,54175,52880,52516,52867,54941,55113,56324,57170,59316,60685,62517,64549,65367,67744,68711,70734,72298,71451,70667,70911,71641,75451,73935,71355,67962,63191,61460
Mannen,86 jaar,20372,20977,21839,22030,23100,24130,25367,26002,28424,29332,31117,30977,32952,36184,38421,37184,52900,51530,49679,48552,48280,48664,50635,50854,52031,52873,54919,56251,58014,59962,60784,63063,64030,65982,67508,66784,66115,66411,67155,70795,69436,67072,63940,59502
Mannen,87 jaar,16549,17925,18512,19320,19529,20516,21469,22602,23204,25406,26261,27902,27822,29640,32595,34660,33590,47857,46682,45066,44104,43914,44323,46178,46437,47571,48401,50335,51618,53300,55154,55974,58140,59097,60967,62446,61841,61287,61629,62381,65829,64631,62492,59632
Mannen,88 jaar,13832,14326,15566,16118,16860,17075,17974,18839,19866,20430,22407,23201,24690,24659,26312,28980,30862,29954,42743,41753,40366,39561,39446,39870,41596,41886,42966,43774,45581,46804,48391,50138,50946,52984,53921,55693,57111,56623,56181,56559,57313,60547,59510,57602
Mannen,89 jaar,11107,11756,12217,13313,13818,14485,14702,15501,16275,17192,17713,19462,20187,21520,21528,23009,25383,27075,26318,37618,36804,35635,34977,34927,35356,36940,37251,38265,39040,40708,41859,43337,44962,45746,47639,48544,50204,51548,51170,50834,51238,51984,54983,54105
Mannen,90 jaar,8960,9248,9823,10240,11188,11640,12229,12433,13133,13815,14621,15093,16615,17265,18436,18475,19780,21857,23355,22739,32559,31907,30945,30421,30427,30848,32281,32601,33540,34271,35788,36853,38211,39700,40451,42184,43045,44578,45832,45558,45318,45739,46464,49208
Mannen,91 jaar,6826,7295,7559,8056,8421,9223,9620,10124,10313,10916,11506,12202,12621,13919,14490,15502,15563,16691,18477,19779,19290,27670,27162,26388,25985,26033,26437,27710,28030,28884,29560,30917,31887,33112,34455,35159,36720,37525,38918,40071,39888,39734,40159,40853
Mannen,92 jaar,5145,5419,5817,6049,6465,6776,7441,7775,8199,8369,8878,9377,9965,10327,11411,11902,12757,12831,13787,15291,16398,16022,23024,22642,22035,21737,21815,22192,23300,23609,24369,24981,26171,27035,28120,29307,29953,31332,32069,33311,34349,34245,34163,34580
Mannen,93 jaar,4075,3978,4210,4536,4731,5071,5330,5863,6139,6487,6637,7055,7468,7952,8257,9142,9554,10259,10339,11131,12368,13289,13008,18728,18451,17989,17778,17873,18215,19158,19446,20107,20647,21667,22421,23359,24386,24965,26156,26815,27898,28813,28771,28747
Mannen,94 jaar,2655,3067,3009,3197,3455,3615,3886,4091,4510,4732,5012,5138,5474,5806,6195,6445,7150,7486,8055,8133,8773,9767,10513,10311,14872,14680,14339,14196,14298,14598,15381,15640,16200,16664,17518,18158,18951,19817,20321,21327,21900,22822,23609,23613
Mannen,95 jaar,1879,1942,2255,2221,2367,2566,2692,2899,3058,3379,3553,3771,3875,4136,4396,4699,4899,5445,5712,6158,6230,6733,7510,8099,7959,11500,11372,11129,11038,11138,11391,12024,12248,12709,13096,13791,14320,14971,15682,16108,16934,17418,18181,18840
Mannen,96 jaar,1314,1327,1379,1608,1590,1700,1848,1942,2096,2215,2453,2585,2750,2831,3028,3224,3453,3606,4016,4221,4559,4621,5004,5592,6042,5948,8611,8531,8363,8310,8400,8607,9101,9287,9654,9965,10512,10934,11451,12015,12363,13018,13413,14024
Mannen,97 jaar,707,892,906,946,1107,1097,1177,1282,1350,1459,1546,1715,1811,1931,1991,2134,2276,2442,2556,2851,3003,3249,3300,3579,4007,4338,4278,6205,6158,6048,6020,6096,6257,6628,6776,7055,7296,7709,8033,8426,8857,9128,9628,9937
Mannen,98 jaar,403,458,582,594,622,731,727,781,852,899,974,1034,1150,1217,1300,1343,1442,1541,1657,1737,1942,2049,2221,2260,2456,2755,2988,2952,4290,4266,4197,4186,4246,4366,4634,4745,4950,5128,5428,5666,5954,6269,6473,6840
Mannen,99 jaar of ouder,536,560,612,721,799,867,978,1046,1124,1218,1309,1415,1522,1665,1800,1940,2060,2202,2359,2537,2707,2951,3181,3445,3647,3910,4280,4678,4922,5956,6623,7027,7298,7530,7777,8131,8455,8821,9198,9666,10154,10691,11281,11833
Vrouwen,Totaal leeftijd,8612263,8654784,8689607,8722891,8753992,8782949,8809669,8836001,8862402,8888772,8914807,8940440,8965529,8989968,9013474,9035922,9057172,9077073,9095494,9112337,9127525,9141023,9152833,9163011,9171669,9178885,9184794,9189527,9193322,9196341,9198844,9200973,9202867,9204597,9206240,9207822,9209433,9211144,9213030,9215146,9217572,9220367,9223602,9227360
Vrouwen,0 jaar,84286,85858,86867,88332,89496,90616,91809,92899,93847,94553,95066,95438,95692,95827,95830,95698,95443,95066,94578,93994,93354,92685,92025,91394,90811,90291,89845,89491,89249,89136,89160,89318,89607,90000,90475,91004,91564,92130,92678,93193,93655,94053,94376,94621
Vrouwen,1 jaar,83657,84899,86258,87220,88644,89773,90856,92038,93123,94073,94782,95296,95671,95926,96063,96065,95937,95685,95309,94823,94239,93599,92932,92273,91645,91064,90546,90103,89751,89511,89401,89428,89588,89880,90274,90749,91277,91836,92400,92947,93459,93919,94318,94639
Vrouwen,2 jaar,86605,84321,85337,86606,87530,88918,90013,91087,92266,93353,94299,95006,95522,95898,96151,96290,96294,96165,95915,95540,95057,94474,93835,93168,92512,91885,91307,90789,90348,90000,89763,89656,89687,89848,90142,90536,91010,91537,92094,92659,93205,93713,94171,94570
Vrouwen,3 jaar,84414,87127,84698,85623,86829,87719,89071,90153,91224,92401,93486,94430,95135,95654,96028,96280,96418,96424,96297,96049,95674,95190,94607,93970,93305,92652,92027,91450,90935,90497,90152,89918,89812,89847,90008,90304,90699,91172,91697,92254,92816,93360,93866,94323
Vrouwen,4 jaar,86926,84924,87451,84993,85854,87013,87867,89209,90290,91359,92536,93618,94562,95265,95783,96156,96410,96548,96554,96427,96179,95806,95321,94742,94105,93442,92790,92167,91593,91080,90647,90304,90074,89970,90007,90170,90466,90861,91336,91860,92417,92978,93519,94022
Vrouwen,5 jaar,88776,87411,85211,87669,85200,86008,87134,87982,89324,90406,91474,92650,93731,94671,95374,95891,96263,96516,96656,96662,96535,96288,95916,95433,94853,94219,93559,92909,92288,91719,91208,90778,90436,90211,90111,90151,90316,90611,91008,91483,92006,92560,93122,93660
Vrouwen,6 jaar,91495,89293,87706,85456,87859,85367,86132,87262,88114,89457,90538,91607,92781,93859,94797,95500,96011,96383,96636,96775,96782,96656,96409,96037,95555,94978,94347,93689,93041,92423,91856,91347,90920,90580,90358,90261,90302,90469,90766,91163,91638,92161,92714,93275
Vrouwen,7 jaar,91612,92044,89631,87968,85684,88024,85502,86277,87417,88278,89622,90701,91771,92941,94016,94948,95650,96159,96529,96780,96919,96927,96800,96552,96182,95701,95124,94496,93839,93193,92577,92012,91504,91080,90744,90522,90426,90469,90637,90936,91333,91808,92331,92882
Vrouwen,8 jaar,91607,92151,92363,89893,88175,85852,88132,85630,86420,87570,88434,89776,90856,91928,93090,94160,95091,95791,96299,96667,96917,97055,97063,96935,96686,96316,95837,95260,94633,93977,93333,92718,92156,91651,91228,90893,90674,90580,90622,90790,91088,91486,91960,92482
Vrouwen,9 jaar,90470,92127,92477,92619,90107,88329,85970,88237,85763,86568,87727,88596,89937,91012,92082,93240,94310,95235,95932,96439,96806,97057,97192,97201,97074,96824,96455,95977,95401,94774,94121,93477,92864,92305,91799,91379,91045,90830,90735,90778,90945,91243,91640,92116
Vrouwen,10 jaar,91638,90970,92439,92730,92824,90256,88427,86074,88340,85892,86711,87878,88751,90092,91164,92232,93388,94452,95376,96071,96577,96942,97192,97328,97335,97209,96958,96591,96114,95540,94914,94263,93621,93010,92451,91947,91529,91195,90981,90888,90932,91100,91399,91797
Vrouwen,11 jaar,92804,92126,91262,92674,92922,92957,90337,88498,86160,88424,86004,86835,88009,88886,90221,91292,92358,93510,94572,95492,96186,96690,97054,97302,97438,97446,97321,97071,96706,96229,95656,95032,94382,93743,93134,92577,92073,91659,91326,91114,91022,91067,91236,91535
Vrouwen,12 jaar,95979,93291,92433,91501,92869,93068,93049,90421,88581,86253,88517,86124,86964,88140,89018,90355,91424,92488,93636,94695,95611,96303,96805,97168,97416,97553,97561,97438,97187,96823,96347,95776,95155,94507,93868,93260,92704,92201,91788,91457,91246,91155,91202,91372
Vrouwen,13 jaar,98980,96479,93614,92700,91714,93027,93175,93142,90514,88674,86353,88618,86250,87099,88276,89158,90491,91560,92622,93767,94821,95734,96426,96927,97290,97537,97674,97683,97560,97309,96948,96473,95902,95283,94636,93998,93393,92838,92336,91924,91593,91385,91295,91344
Vrouwen,14 jaar,99541,99504,96814,93892,92936,91887,93148,93283,93246,90617,88775,86465,88731,86391,87245,88424,89306,90637,91702,92762,93904,94956,95865,96558,97057,97419,97665,97804,97812,97691,97440,97079,96606,96036,95420,94774,94137,93532,92978,92475,92065,91737,91530,91441
Vrouwen,15 jaar,100521,100099,99869,97116,94142,93133,92028,93275,93409,93369,90738,88896,86594,88862,86546,87406,88585,89467,90797,91858,92917,94054,95105,96013,96704,97203,97565,97810,97949,97957,97838,97587,97227,96754,96187,95571,94926,94290,93685,93131,92629,92222,91894,91689
Vrouwen,16 jaar,102772,101090,100506,100206,97403,94366,93304,92189,93429,93563,93521,90891,89048,86755,89024,86730,87595,88774,89655,90983,92044,93099,94233,95281,96188,96876,97375,97737,97982,98120,98129,98010,97760,97401,96929,96363,95748,95104,94468,93864,93310,92810,92404,92076
Vrouwen,17 jaar,100177,103398,101521,100879,100525,97662,94566,93492,92375,93610,93741,93701,91073,89229,86942,89214,86939,87811,88988,89869,91193,92255,93309,94437,95483,96385,97073,97571,97932,98177,98316,98325,98207,97957,97599,97128,96565,95949,95307,94670,94068,93513,93015,92610
Vrouwen,18 jaar,100909,101984,104965,102992,102262,101814,98873,95751,94674,93555,94788,94920,94882,92259,90419,88139,90410,88172,89051,90228,91111,92430,93489,94540,95666,96706,97606,98292,98790,99152,99398,99537,99548,99432,99183,98827,98357,97797,97184,96543,95908,95308,94755,94259
Vrouwen,19 jaar,100462,103881,104321,107131,105042,104205,103646,100692,97559,96483,95365,96599,96737,96705,94086,92250,89979,92251,90058,90945,92118,93003,94316,95371,96416,97537,98573,99470,100151,100651,101014,101259,101402,101415,101301,101056,100703,100236,99679,99067,98429,97796,97200,96648
Vrouwen,20 jaar,100904,104535,106726,106667,109291,107104,106146,105577,102624,99492,98412,97302,98534,98679,98650,96040,94206,91947,94220,92095,92986,94151,95038,96344,97394,98433,99550,100580,101470,102150,102648,103013,103260,103406,103425,103313,103073,102724,102260,101708,101099,100467,99839,99245
